Abstract,Author Keywords
"Internet of things (IoT) has brought a greater transformation in health-care sector thereby improving patient care, minimizing treatment costs. The pre-sent method employs classical mechanisms for extracting features and a regression model for prediction. These methods have failed to consider the pollution aspects involved during COVID 19 prediction. Utilizing Ensemble Deep Learning and Framingham Feature Extraction (FFE) techniques, a smart health-care system is introduced for COVID-19 pandemic disease diagnosis. The Col-lected feature or data via predictive mechanisms to form pollution maps. Those maps are used to implement real-time countermeasures, such as storing the extracted data or feature in a Cloud server to minimize concentrations of air pol-lutants. Once integrated with patient management systems, this solution would minimize pollution emitted via patient’s sensors by offering spaces in the cloud server when pollution thresholds are reached. Second, the Gini Index factor information gain technique eliminates unimportant and redundant attributes while selecting the most relevant, reducing computing overhead and optimizing system performance. Finally, the COVID-19 disease prognosis ensemble deep learning-based classifier is constructed. Experimental analysis is planned to measure the prediction accuracy, error, precision and recall for different numbers of patients. Experimental results show that prediction accuracy is improved by 8%, error rate was reduced by 47% and prediction time is minimized by 36% compared to existing methods. © 2023, Tech Science Press. All rights reserved.",Covid-19; ensemble deep learning; framingham feature extraction; Internet of Things
,
 United States; Rodríguez, A.
"Green bonds are powerful tools for fighting against climate change and typically exhibit more volatility than conventional bonds do. However, the volatility forecasting of green bond has received little attention in previous literature. This study proposes two novel heterogeneous ensemble models, which differ from common volatility forecasting in that they are combine advanced tree-based ensemble models and exogenous predictors from other financial and commodity markets to forecast the volatility of green bonds. Validated on multiple green bonds indexes, loss functions, and time horizons, the comparative results show that the incorporation of exogenous predictors can enhance the predictive accuracy of volatility forecasting models, which is also confirmed by the marginal effects illustrated by SHapley Additive exPlanations (SHAP) values. The proposed EX-SEL model significantly outperforms the benchmark models in most cases. The results of the robustness check further indicate that the empirical results are robust to alternative volatility estimators, extreme events such as the COVID-19 pandemic, and alternative selection strategies. © 2022 Elsevier Ltd",Gradient boosting decision tree; Green bonds; Heterogeneous ensemble; Random forests; Volatility forecasting
"Background: Artificial intelligence-based disease prediction models have a greater potential to screen COVID-19 patients than conventional methods. However, their application has been restricted because of their underlying black-box nature. Objective: To addressed this issue, an explainable artificial intelligence (XAI) approach was developed to screen patients for COVID-19. Methods: A retrospective study consisting of 1,737 participants (759 COVID-19 patients and 978 controls) admitted to San Raphael Hospital (OSR) from February to May 2020 was used to construct a diagnosis model. Finally, 32 key blood test indices from 1,374 participants were used for screening patients for COVID-19. Four ensemble learning algorithms were used: random forest (RF), adaptive boosting (AdaBoost), gradient boosting decision tree (GBDT), and extreme gradient boosting (XGBoost). Feature importance from the perspective of the clinical domain and visualized interpretations were illustrated by using local interpretable model-agnostic explanations (LIME) plots. Results: The GBDT model [area under the curve (AUC): 86.4%; 95% confidence interval (CI) 0.821–0.907] outperformed the RF model (AUC: 85.7%; 95% CI 0.813–0.902), AdaBoost model (AUC: 85.4%; 95% CI 0.810–0.899), and XGBoost model (AUC: 84.9%; 95% CI 0.803–0.894) in distinguishing patients with COVID-19 from those without. The cumulative feature importance of lactate dehydrogenase, white blood cells, and eosinophil counts was 0.145, 0.130, and 0.128, respectively. Conclusions: Ensemble machining learning (ML) approaches, mainly GBDT and LIME plots, are efficient for screening patients with COVID-19 and might serve as a potential tool in the auxiliary diagnosis of COVID-19. Patients with higher WBC count, higher LDH level, or higher EOT count, were more likely to have COVID-19. Copyright © 2022 Gong, Wang, Zhang, Elahe and Jin.",artificial intelligence; COVID-19; disease prediction; ensemble learning; explainable
"This study was designed to develop machine?learning models to predict COVID?19 mortality and identify its key features based on clinical characteristics and laboratory tests. For this, deep?learning (DL) and machine?learning (ML) models were developed using receiver operating characteristic (ROC) area under the curve (AUC) and F1 score optimization of 87 parameters. Of the two, the DL model exhibited better performance (AUC 0.8721, accuracy 0.84, and F1 score 0.76). However, we also blended DL with ML, and the ensemble model performed the best (AUC 0.8811, accuracy 0.85, and F1 score 0.77). The DL model is generally unable to extract feature importance; however, we succeeded by using the Shapley Additive exPlanations method for each model. This study demonstrated both the applicability of DL and ML models for classifying COVID?19 mortality using hospital?structured data and that the ensemble model had the best predictive ability. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",artificial intelligence; COVID?19; ensemble model; mortality
"The COVID-19 precautions, lockdown, and quarantine implemented throughout the epidemic resulted in a worldwide economic disaster. People are facing unprecedented levels of intense threat, necessitating professional, systematic psychiatric intervention and assistance. New psychological services must be established as quickly as possible to support the mental healthcare needs of people in this pandemic condition. This study examines the contents of calls landed in the emergency response support system (ERSS) during the pandemic. Furthermore, a combined analysis of Twitter patterns connected to emergency services could be valuable in assisting people in this pandemic crisis and understanding and supporting people's emotions. The proposed Average Voting Ensemble Deep Learning model (AVEDL Model) is based on the Average Voting technique. The AVEDL Model is utilized to classify emotion based on COVID-19 associated emergency response support system calls (transcribed) along with tweets. Pre-trained transformer-based models BERT, DistilBERT, and RoBERTa are combined to build the AVEDL Model, which achieves the best results. The AVEDL Model is trained and tested for emotion detection using the COVID-19 labeled tweets and call content of the emergency response support system. This is the first deep learning ensemble model using COVID-19 emotion analysis to the best of our knowledge. The AVEDL Model outperforms standard deep learning and machine learning models by attaining an accuracy of 86.46 percent and Macro-average F1-score of 85.20 percent. © 2022 Elsevier B.V.",BERT; COVID-19; Deep learning; DistilBERT; Emergency response support system (ERSS); Emotion detection; Ensemble model; Health emergency; RoBERTa
"“Novel Coronavirus”, commonly known as COVID-19 has spread nearly to the entire world. The number of impacted cases and deaths has increased significantly in each country, posing a challenge for the world’s health organizations. The goal of this paper was to better comprehend and analyze the growth of the disease in India, including confirmed, recovered, fatalities, and active cases of COVID-19. Data analysis affects an organization’s decision-making process with interactive visual representation. The proposed model was an ensemble model that was built using linear regression, polynomial regression, and support vector machine (SVM) regression models. The model predicted the number of confirmed cases from 30th May 2021 to 15th June 2021 based on the data available from 22 January 2020 to 29 May 2021 and improved accuracy was obtained when compared with the actual data. Forecasting the confirmed cases might assist health organizations in planning medical facilities. Following that, an appropriate machine leraning (ML) model must be found that can predict the number of new cases in the future. © 2022, Institute of Advanced Engineering and Science. All rights reserved.",COVID-19; Ensemble method; Machine learning; Prediction; Regression
"Recently the most infectious disease is the novel Coronavirus disease (COVID 19) creates a devastating effect on public health in more than 200 countries in the world. Since the detection of COVID19 using reverse transcription-polymerase chain reaction (RT-PCR) is time-consuming and error-prone, the alternative solution of detection is Computed Tomography (CT) images. In this paper, Contrast Limited Histogram Equalization (CLAHE) was applied to CT images as a preprocessing step for enhancing the quality of the images. After that, we developed a novel Convolutional Neural Network (CNN) model that extracted 100 prominent features from a total of 2482 CT scan images. These extracted features were then deployed to various machine learning algorithms — Gaussian Naive Bayes (GNB), Support Vector Machine (SVM), Decision Tree (DT), Logistic Regression (LR), and Random Forest (RF). Finally, we proposed an ensemble model for the COVID19 CT image classification. We also showed various performance comparisons with the state-of-art methods. Our proposed model outperforms the state-of-art models and achieved an accuracy, precision, and recall score of 99.73%, 99.46%, and 100%, respectively. © 2022 Elsevier Ltd",CLAHE; Convolutional Neural Network; COVID19; Ensemble learning; Feature scaling; Guassian Naive Bayes; Soft voting; Support Vector Machine
"The Coronavirus disease (COVID-19), which is an infectious pulmonary disorder, has affected millions of people and has been declared as a global pandemic by the WHO. Due to highly contagious nature of COVID-19 and its high possibility of causing severe conditions in the patients, the development of rapid and accurate diagnostic tools have gained importance. The real-time reverse transcription-polymerize chain reaction (RT-PCR) is used to detect the presence of Coronavirus RNA by using the mucus and saliva mixture samples taken by the nasopharyngeal swab technique. But, RT-PCR suffers from having low-sensitivity especially in the early stage. Therefore, the usage of chest radiography has been increasing in the early diagnosis of COVID-19 due to its fast imaging speed, significantly low cost and low dosage exposure of radiation. In our study, a computer-aided diagnosis system for X-ray images based on convolutional neural networks (CNNs) and ensemble learning idea, which can be used by radiologists as a supporting tool in COVID-19 detection, has been proposed. Deep feature sets extracted by using seven CNN architectures were concatenated for feature level fusion and fed to multiple classifiers in terms of decision level fusion idea with the aim of discriminating COVID-19, pneumonia and no-finding classes. In the decision level fusion idea, a majority voting scheme was applied to the resultant decisions of classifiers. The obtained accuracy values and confusion matrix based evaluation criteria were presented for three progressively created data-sets. The aspects of the proposed method that are superior to existing COVID-19 detection studies have been discussed and the fusion performance of proposed approach was validated visually by using Class Activation Mapping technique. The experimental results show that the proposed approach has attained high COVID-19 detection performance that was proven by its comparable accuracy and superior precision/recall values with the existing studies. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Class activation mapping; Convolutional neural networks; COVID-19; Decision level fusion; Ensemble learning; Feature level fusion; Multistage learning; Support vector machines; Transfer learning
